"FECHA","ID_ESTACION","NOM_ESTACION","ESPECIE","ESPECIE_DES","ALTURA","DAP","TIPO","TIPO_DES","ESTADO","ESTADO_DES"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";4;2,6;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"AG";"Avicennia germinans";4,5;3,5;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"AG";"Avicennia germinans";5;3,8;"7";"Rama";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"AG";"Avicennia germinans";7;9,8;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"AG";"Avicennia germinans";4,5;3,1;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";14;15,3;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";4;3;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";14;3;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";4,5;3,1;"8";"Tronco";"6";"Vivo"
30/05/12;45912;"Kilómetro 22 -3";"LR";"Laguncularia racemosa";4;2;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";6,7;11,1;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";12;38,2;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,33;9,4;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";6,4;11,6;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";10,67;34;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,83;6,3;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"RM";"Rhizophora mangle";8,7;6,8;"8";"Tronco";"5";"Partido"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";17,6;12;"7";"Rama";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;7;"8";"Tronco";"5";"Partido"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";10,7;20,3;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";5;10,9;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;5,9;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";10;10,3;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";11,67;18,7;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";8,1;6,6;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";13,49;18,3;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";12,33;24;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";2,83;5,2;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,1;6,8;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,3;9,8;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,33;10;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";2,77;7,4;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";9,7;7,6;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"AG";"Avicennia germinans";12;17,2;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,8;7;"8";"Tronco";"5";"Partido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,7;8;"7";"Rama";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;8,4;"8";"Tronco";"2";"Cortado"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,5;12;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;10,7;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";2,9;6;"8";"Tronco";"3";"Mal Estado"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;8,8;"7";"Rama";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,7;14;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,67;12,7;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,5;11,4;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,7;9,8;"8";"Tronco";"1";"Caido"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7;13,6;"8";"Tronco";"6";"Vivo"
01/03/06;45914;"Rinconada -1";"LR";"Laguncularia racemosa";11,7;5,7;"8";"Tronco";"1";"Caido"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,9;7,2;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,8;6,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,3;8,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,1;4,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,1;3,2;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,4;4,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;2,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,1;3,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";11,7;18,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,6;3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,6;2,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;5,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;2,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7;4,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,2;4,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,7;9,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";2,4;3,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,4;2,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;4,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"RM";"Rhizophora mangle";11,7;20,2;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;4,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;3,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,2;3,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,6;3,2;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,9;4,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,4;3,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,4;3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,1;4,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,1;3,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,5;4,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,5;4,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,6;3,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;3,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";7,9;13,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,7;3,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,6;4,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,9;2,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,9;4,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";7,6;8,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;5,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";8,7;6,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,7;8,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,8;5,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6,6;2,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;8,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;4,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,1;5,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";8,5;7,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,5;4,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;6,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6;4,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,9;4,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,6;7,5;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,7;4,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,5;2,6;"8";"Tronco";"1";"Caido"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;2,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,7;2,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";7,7;9,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,8;3,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;4,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6,5;5,1;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";5,8;2,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,1;3,2;"7";"Rama";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;4,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,7;4,3;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;4,4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,9;3,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,5;3,9;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,5;4,7;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";5,1;3,8;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,4;3,2;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6;5,6;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,4;4;"8";"Tronco";"6";"Vivo"
01/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,1;5,5;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;5,7;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,9;4,8;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,4;6,7;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,7;8,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,2;6,3;"7";"Rama";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4;4,6;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6,1;7,6;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";7,4;6,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,4;8,4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,8;6;"7";"Rama";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,4;4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";11,8;15,1;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"RM";"Rhizophora mangle";5,4;5,9;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,6;4,3;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6,6;6,4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,7;7,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8,6;6,9;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,4;5,8;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,7;3,7;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";3,4;4,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,2;3,4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,3;8,5;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,4;10,9;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,3;4,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,7;2,7;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,9;3;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";5,1;4,4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,9;4,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";3,16;4,1;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";5;3,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,5;2,5;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";9,6;8,4;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,1;6,6;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";4,6;3;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6;4,8;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";9,5;16,1;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";3,5;2,6;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";3,8;4,5;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4,9;2,9;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,3;11,8;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,7;14,2;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5,3;3,8;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";6,4;5,5;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";6,1;3,3;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7,1;6,3;"8";"Tronco";"6";"Vivo"
03/10/96;45914;"Rinconada -1";"AG";"Avicennia germinans";3,5;2,9;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";10;12,5;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;13,4;"8";"Tronco";"3";"Mal Estado"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";13;19,3;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";18;42,5;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";16;14,8;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";20;21,8;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";13;12,2;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";15;12;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";18;28,8;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";23;34;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";13;9;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";8;6,8;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";14;38,6;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";14;11,3;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";15;12,8;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";14;11,4;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";14;8,6;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";8;5,2;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"RM";"Rhizophora mangle";7;5,7;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";13;28;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";6;3,9;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8;3;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"RM";"Rhizophora mangle";7;4;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"RM";"Rhizophora mangle";8;4,5;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";9;3,2;"8";"Tronco";"3";"Mal Estado"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7;2,5;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";5;2,6;"7";"Rama";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8;3,2;"8";"Tronco";"6";"Vivo"
04/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";5;2,6;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;12;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";18;15,2;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";22;26,7;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";9;7,8;"8";"Tronco";"3";"Mal Estado"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";11;6,2;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";13;14,2;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;18;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;15,7;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";18;12,7;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";16;13;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";18;16;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";5;9,1;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";18;17,4;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";7;9,5;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3,5;6,3;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";4;9,3;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";13;11,8;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8;6,2;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";11;9,9;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;8;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;11,8;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";9;4,8;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;8,9;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;4,7;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";9;7,2;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";11;7,7;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;6,7;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;13,5;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";12;8,7;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";20;14;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;8,2;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";8;5,8;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";3;5,2;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";16;21,8;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";10;10,1;"7";"Rama";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"LR";"Laguncularia racemosa";16;11,1;"8";"Tronco";"6";"Vivo"
06/03/15;45914;"Rinconada -1";"AG";"Avicennia germinans";11;9;"8";"Tronco";"6";"Vivo"
