.FECHA.ID_ESTACION.NOM_ESTACION.ESPECIE.ESPECIE_DES.ALTURA.DAP.TIPO.TIPO_DES.ESTADO.ESTADO_DES
1010.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.18.2.25.3.8.Tronco.6.Vivo
1017.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.29.5.8.Tronco.6.Vivo
1025.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.27.35.8.Tronco.6.Vivo
1039.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.36.6.8.Tronco.6.Vivo
1679.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.19.0.23.8.8.Tronco.6.Vivo
1686.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.25.0.21.5.8.Tronco.6.Vivo
1688.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.21.0.34.5.8.Tronco.6.Vivo
1698.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.17.0.8.Tronco.6.Vivo
1699.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.80.0.5.2.8.Tronco.6.Vivo
1700.2015-03-04.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.16.0.8.Tronco.6.Vivo
1709.2016-03-10.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.43.3.8.Tronco.6.Vivo
1712.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.36.1.8.Tronco.6.Vivo
1713.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.41.4.8.Tronco.6.Vivo
1714.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.18.0.8.Tronco.6.Vivo
1716.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.21.0.11.9.8.Tronco.6.Vivo
1721.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.14.7.8.Tronco.6.Vivo
1727.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.22.0.13.0.8.Tronco.6.Vivo
1728.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.22.0.14.9.8.Tronco.6.Vivo
1729.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.15.6.8.Tronco.6.Vivo
1730.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.18.1.8.Tronco.6.Vivo
1741.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.22.0.12.7.8.Tronco.6.Vivo
1744.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.26.0.20.3.8.Tronco.6.Vivo
1753.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.11.0.8.Tronco.6.Vivo
1754.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.25.0.16.6.8.Tronco.6.Vivo
1755.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.23.0.17.5.8.Tronco.6.Vivo
1775.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.17.0.24.8.8.Tronco.6.Vivo
1777.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.23.7.8.Tronco.6.Vivo
1794.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.34.8.8.Tronco.6.Vivo
1818.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.17.0.8.Tronco.6.Vivo
1820.2014-02-12.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.16.0.8.Tronco.6.Vivo
1969.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.17.0.36.1.8.Tronco.6.Vivo
